City,Lat,lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
pointe-noire,-4.7761,11.8635,22.04,83.0,75.0,1.54,CG,1722821994.0
puerto yuca,2.9383,-73.2083,23.03,95.0,99.0,0.89,CO,1722821999.0
shiraz,29.6036,52.5388,22.69,35.0,20.0,2.06,IR,1722821999.0
el calafate,-50.3408,-72.2768,0.41,91.0,96.0,2.51,AR,1722821994.0
nyurba,63.2842,118.3319,19.49,51.0,52.0,3.41,RU,1722822000.0
uaua,-9.8414,-39.4817,18.71,76.0,0.0,5.74,BR,1722822000.0
astoria,46.1879,-123.8313,22.59,83.0,0.0,6.71,US,1722822000.0
deltebre,40.7499,0.7868,25.75,76.0,0.0,2.53,ES,1722822000.0
tasbuget,,,,,,,,
tommot,58.9564,126.2925,15.35,97.0,100.0,2.15,RU,1722822000.0
olyokminsk,60.3736,120.4264,14.61,98.0,100.0,2.87,RU,1722822000.0
mariental,-24.6333,17.9667,5.94,90.0,53.0,3.85,NA,1722822000.0
klyuchi,52.2667,79.1667,22.16,57.0,24.0,3.63,RU,1722822000.0
kuruman,-27.4524,23.4325,3.33,89.0,100.0,4.41,ZA,1722822000.0
mata-utu,-13.2816,-176.1745,27.0,73.0,100.0,3.35,WF,1722822000.0
san antonio de pale,-1.4014,5.6325,22.12,69.0,91.0,2.73,GQ,1722822000.0
kirakira,-10.4544,161.9205,26.26,88.0,100.0,6.19,SB,1722822000.0
yangor,,,,,,,,
alofi,-19.0595,-169.9187,26.94,78.0,75.0,4.63,NU,1722822000.0
bol,13.4586,14.7147,26.02,82.0,100.0,6.79,TD,1722822000.0
musay'id,,,,,,,,
pokhara,28.2333,83.9833,23.32,91.0,86.0,0.79,NP,1722822001.0
outjo,-20.1167,16.15,13.05,27.0,0.0,1.86,NA,1722822001.0
igarka,67.4667,86.5833,10.94,59.0,74.0,6.04,RU,1722822001.0
guadalupe,25.6833,-100.25,31.79,51.0,0.0,3.09,MX,1722821760.0
tranovaho,,,,,,,,
mahanoro,-19.9,48.8,16.76,86.0,10.0,2.11,MG,1722822001.0
praia da vitoria,38.7333,-27.0667,25.14,88.0,20.0,2.9,PT,1722822001.0
toliara,-23.35,43.6667,18.43,59.0,0.0,2.06,MG,1722822001.0
east london,-33.0153,27.9116,13.64,49.0,6.0,9.29,ZA,1722822001.0
kununurra,-15.7667,128.7333,27.99,39.0,1.0,4.63,AU,1722822001.0
puerto cabezas,14.0351,-83.3888,26.07,89.0,9.0,2.18,NI,1722822001.0
grajewo,53.6473,22.4554,14.98,98.0,100.0,1.45,PL,1722822001.0
kamennomostskiy,44.2983,40.1856,16.81,94.0,0.0,1.91,RU,1722822001.0
ciechocinek,52.8791,18.7951,16.88,97.0,100.0,1.99,PL,1722822001.0
najran,17.4924,44.1277,30.36,37.0,100.0,1.98,SA,1722822001.0
port isabel,26.0734,-97.2086,30.04,76.0,0.0,4.12,US,1722822001.0
lijiang,26.8688,100.2207,19.62,78.0,62.0,1.03,CN,1722822002.0
tual,-5.6667,132.75,25.09,85.0,74.0,9.08,ID,1722822002.0
fortuna,40.5982,-124.1573,16.63,92.0,100.0,2.06,US,1722821924.0
egilsstadir,65.2653,-14.3948,10.95,82.0,100.0,8.75,IS,1722822002.0
al artawiyah,26.5053,45.3444,28.51,13.0,11.0,3.53,SA,1722822002.0
carnarvon,-24.8667,113.6333,18.86,42.0,0.0,3.87,AU,1722822002.0
srpska crnja,45.7233,20.6886,15.67,39.0,83.0,1.92,RS,1722822002.0
nadym,65.5333,72.5167,13.64,57.0,100.0,8.01,RU,1722822002.0
lhasa,29.65,91.1,11.97,87.0,100.0,0.8,CN,1722822002.0
tazacorte,28.629,-17.9293,22.54,95.0,75.0,5.14,ES,1722822002.0
tura,25.5198,90.2201,26.58,91.0,100.0,1.8,IN,1722822002.0
vorkuta,67.5,64.0,10.73,58.0,55.0,5.41,RU,1722822002.0
kyain seikgyi township,,,,,,,,
majene,-3.5403,118.9707,27.67,70.0,37.0,5.01,ID,1722822002.0
saipan,15.1355,145.701,31.39,66.0,40.0,6.69,MP,1722821835.0
tazovsky,67.4667,78.7,8.35,64.0,92.0,6.49,RU,1722822007.0
antsiranana,-12.2787,49.2917,20.93,74.0,8.0,6.32,MG,1722822007.0
yorkton,51.2167,-102.4677,18.91,63.0,0.0,2.57,CA,1722821949.0
bikenibeu village,1.3673,173.1241,30.98,66.0,20.0,3.6,KI,1722822008.0
klaksvik,62.2266,-6.589,12.51,99.0,100.0,13.39,FO,1722822008.0
kazalinsk,,,,,,,,
homer,59.6425,-151.5483,18.76,61.0,0.0,6.17,US,1722822008.0
berezovo,63.9381,65.0419,13.94,95.0,100.0,6.0,RU,1722822008.0
general salgado,-20.6483,-50.3606,19.56,44.0,0.0,3.51,BR,1722822008.0
tomatlan,19.9333,-105.25,26.15,84.0,78.0,0.89,MX,1722822008.0
amungan,15.3652,119.9582,29.04,74.0,94.0,2.73,PH,1722822008.0
island harbour,50.724,-1.2758,16.63,75.0,40.0,1.34,GB,1722822008.0
yarmouth,41.7057,-70.2286,25.0,89.0,75.0,6.17,US,1722822008.0
nkurenkuru,,,,,,,,
mareeba,-17.0,145.4333,21.4,51.0,50.0,3.59,AU,1722822008.0
saint-francois,46.4154,3.9054,14.82,95.0,0.0,1.03,FR,1722822008.0
santa cruz,-17.8,-63.1667,21.7,94.0,20.0,2.57,BO,1722821794.0
bhag,29.0415,67.8239,32.63,60.0,46.0,2.09,PK,1722822008.0
ke-macina,13.9623,-5.3572,24.99,85.0,100.0,5.15,ML,1722822008.0
queven,47.7833,-3.4167,11.95,100.0,40.0,1.54,FR,1722822008.0
chake chake,-5.2459,39.7666,21.94,76.0,0.0,3.01,TZ,1722822009.0
nishinoomote,30.7333,131.0,30.31,84.0,75.0,2.06,JP,1722822009.0
nema,57.5067,50.5011,16.79,81.0,90.0,1.92,RU,1722821724.0
marquette,46.5333,-87.6335,18.2,77.0,100.0,0.89,US,1722822009.0
konstantinovka,49.6167,127.9833,25.29,91.0,100.0,6.02,RU,1722822009.0
samana,19.2056,-69.3369,26.01,87.0,100.0,3.03,DO,1722822009.0
tara,56.8944,74.371,16.66,90.0,70.0,2.53,RU,1722822009.0
kingston,17.997,-76.7936,30.53,74.0,20.0,6.69,JM,1722822009.0
san carlos,9.6612,-68.5827,23.47,93.0,84.0,1.57,VE,1722821672.0
chebba,35.2372,11.115,25.61,66.0,0.0,6.99,TN,1722822009.0
xinguara,,,,,,,,
pandan,14.0453,124.1694,30.7,66.0,96.0,3.91,PH,1722822009.0
luwuk,-0.9516,122.7875,25.93,76.0,100.0,3.35,ID,1722822009.0
dalnegorsk,44.5604,135.5701,22.33,56.0,95.0,2.46,RU,1722822009.0
dolores,-36.3132,-57.6792,9.66,56.0,99.0,3.75,AR,1722822009.0
yangjiang,21.85,111.9667,30.77,73.0,21.0,1.64,CN,1722822009.0
caleta de carquin,-11.0925,-77.6267,16.77,82.0,19.0,5.52,PE,1722822009.0
bandarbeyla,9.4942,50.8122,24.84,76.0,100.0,12.0,SO,1722822009.0
jangaon,17.7167,79.1833,25.32,82.0,84.0,4.68,IN,1722822010.0
mawlamyinegyunn,16.3833,95.2667,26.28,90.0,100.0,3.39,MM,1722822010.0
sitangkai,4.6628,119.3928,28.77,70.0,85.0,3.32,PH,1722822010.0
paraiso,9.8383,-83.8656,20.53,100.0,99.0,1.39,CR,1722822010.0
kingscliff,-28.2667,153.5667,22.19,56.0,100.0,3.09,AU,1722822010.0
laguna,38.421,-121.4238,38.58,19.0,0.0,5.14,US,1722822010.0
zag,46.9441,99.165,18.3,43.0,0.0,2.49,MN,1722822010.0
watampone,-4.5386,120.3279,27.55,72.0,97.0,3.94,ID,1722822010.0
amursk,50.2261,136.8994,22.15,63.0,96.0,2.6,RU,1722822010.0
joroinen,62.1782,27.8317,13.88,78.0,100.0,2.14,FI,1722822010.0
mejit,10.2753,170.8646,28.67,79.0,34.0,6.82,MH,1722822010.0
piti village,13.4626,144.6933,31.03,78.0,0.0,5.14,GU,1722822015.0
hihifo,,,,,,,,
quirihue,-36.2833,-72.5333,7.81,93.0,100.0,5.32,CL,1722822015.0
benghazi,32.1167,20.0667,27.88,60.0,0.0,3.84,LY,1722822015.0
opuwo,-18.0607,13.84,15.63,38.0,0.0,1.42,NA,1722822016.0
kerouane,9.2667,-9.0167,20.97,97.0,97.0,1.2,GN,1722822016.0
karystos,38.0133,24.4161,29.12,52.0,3.0,0.89,GR,1722822016.0
kayangel,8.0823,134.7173,28.94,74.0,41.0,5.97,PW,1722822016.0
dembi dolo,8.5333,34.8,14.12,94.0,100.0,1.15,ET,1722822016.0
labytnangi,66.6572,66.4183,10.04,60.0,100.0,9.25,RU,1722822016.0
pasni,25.2631,63.471,27.73,80.0,100.0,2.45,PK,1722822016.0
ouadda,8.0777,22.4007,18.76,99.0,100.0,1.94,CF,1722822016.0
bel ombre,-4.6167,55.4167,25.91,89.0,75.0,4.63,SC,1722822016.0
sao joao da barra,-21.6403,-41.0511,23.3,82.0,0.0,7.72,BR,1722822016.0
camacupa,-12.0167,17.4833,14.59,29.0,70.0,1.45,AO,1722822016.0
gizo,-8.103,156.8419,25.92,88.0,100.0,5.89,SB,1722822016.0
chulakkurgan,43.765,69.1814,26.0,24.0,0.0,4.75,KZ,1722822016.0
atafu village,-8.5421,-172.5159,27.96,79.0,100.0,4.79,TK,1722822016.0
dryden,49.7833,-92.7503,18.16,59.0,75.0,2.06,CA,1722822016.0
korla,41.7597,86.1469,32.32,20.0,10.0,5.5,CN,1722822016.0
trevelin,-43.0858,-71.4639,4.71,93.0,100.0,0.41,AR,1722822017.0
queenstown,-31.8976,26.8753,6.26,79.0,68.0,2.94,ZA,1722822017.0
wotho,10.1657,166.0102,28.8,78.0,34.0,5.59,MH,1722822017.0
grande prairie,55.1667,-118.8027,17.1,67.0,75.0,8.75,CA,1722821828.0
kupang,-10.1667,123.5833,30.32,58.0,20.0,6.17,ID,1722822017.0
whakatane,-37.9585,176.9854,16.05,54.0,89.0,1.52,NZ,1722822017.0
sao jose da coroa grande,-8.8978,-35.1478,24.21,78.0,50.0,6.17,BR,1722822017.0
pisco,-13.7,-76.2167,16.03,88.0,0.0,3.09,PE,1722822017.0
smirnykh,49.75,142.8333,19.01,66.0,100.0,3.01,RU,1722822017.0
alotau,-10.3069,150.4462,24.72,88.0,100.0,3.23,PG,1722822017.0
nandurbar,21.3667,74.25,24.98,91.0,100.0,6.89,IN,1722822017.0
kutum,14.2,24.6667,20.06,89.0,89.0,11.2,SD,1722822017.0
kidal,18.4411,1.4078,31.11,47.0,97.0,5.55,ML,1722822017.0
lincoln city,44.9582,-124.0179,21.27,80.0,0.0,5.36,US,1722822017.0
northwood,40.4728,-83.7324,24.66,100.0,0.0,0.0,US,1722822017.0
statesboro,32.4488,-81.7832,26.89,91.0,40.0,0.0,US,1722822017.0
chadron,42.8294,-102.9999,35.86,23.0,0.0,2.06,US,1722822017.0
turpan,42.9333,89.1667,39.51,17.0,61.0,3.48,CN,1722822017.0
udachny,66.4167,112.4,21.97,37.0,100.0,7.37,RU,1722822017.0
east ballina,-28.8667,153.5833,19.89,63.0,100.0,2.32,AU,1722822017.0
gulf breeze,30.3571,-87.1639,30.57,74.0,20.0,2.57,US,1722821992.0
voi,-3.3945,38.563,19.4,77.0,87.0,4.33,KE,1722822017.0
hirara,24.8,125.2833,31.15,79.0,75.0,6.17,JP,1722822017.0
anibare,,,,,,,,
fuerte olimpo,-21.0415,-57.8738,25.53,37.0,0.0,2.18,PY,1722822018.0
pervomayskoye,43.919,46.7102,22.63,76.0,0.0,3.27,RU,1722822018.0
shvartsevskiy,54.0961,37.9917,13.04,92.0,3.0,2.67,RU,1722822018.0
namtsy,62.7161,129.6658,22.17,31.0,100.0,5.83,RU,1722822018.0
trinidad,-14.8333,-64.9,25.25,58.0,18.0,0.92,BO,1722822018.0
guarapari,-20.6667,-40.4975,21.05,86.0,90.0,3.27,BR,1722822018.0
tionk essil,12.7856,-16.5217,25.03,93.0,100.0,2.16,SN,1722822023.0
sarangarh,21.6,83.0833,26.35,84.0,19.0,3.33,IN,1722822023.0
magnolia,33.2671,-93.2393,27.83,83.0,18.0,1.64,US,1722821828.0
tokar,18.4254,37.729,33.27,48.0,100.0,10.47,SD,1722822023.0
pindobacu,-10.7417,-40.3608,17.12,77.0,0.0,2.66,BR,1722822023.0
gusinoozyorsk,51.2833,106.5,19.79,59.0,51.0,3.62,RU,1722822023.0
port-gentil,-0.7193,8.7815,23.09,74.0,91.0,5.05,GA,1722822023.0
aroma,15.8167,36.1333,25.7,75.0,100.0,7.99,SD,1722822023.0
lensk,60.7253,114.9278,18.4,79.0,100.0,3.37,RU,1722822023.0
asau,46.4333,26.4,16.51,83.0,75.0,1.86,RO,1722822023.0
yerkoy,39.6381,34.4672,20.52,49.0,0.0,1.47,TR,1722822023.0
kongsvinger,60.1905,11.9977,13.37,95.0,1.0,1.04,NO,1722822023.0
maceio,-9.6658,-35.7353,21.69,100.0,75.0,0.0,BR,1722821747.0
chililabombwe,-12.3648,27.8229,13.24,35.0,4.0,1.57,ZM,1722822024.0
papatowai,-46.5619,169.4708,11.38,61.0,13.0,2.17,NZ,1722822024.0
paka,4.6374,103.4368,23.96,100.0,20.0,0.0,MY,1722822024.0
langzhong,31.5504,105.9938,28.48,74.0,0.0,1.76,CN,1722822024.0
prado,-17.3411,-39.2208,22.13,89.0,25.0,4.32,BR,1722822024.0
enewetak,11.3474,162.3373,28.92,76.0,99.0,3.67,MH,1722822024.0
assens,55.2702,9.9008,12.94,83.0,100.0,4.09,DK,1722822024.0
pitanga,-24.7572,-51.7614,16.4,62.0,30.0,1.43,BR,1722822024.0
rongelap,11.1635,166.8941,28.81,78.0,57.0,6.29,MH,1722822024.0
ulaangom,49.9811,92.0667,20.81,53.0,3.0,1.93,MN,1722822024.0
kerikeri,-35.2268,173.9474,14.09,58.0,59.0,1.69,NZ,1722822024.0
beacon square,28.2086,-82.7554,27.77,94.0,100.0,5.81,US,1722822024.0
puerto deseado,-47.7503,-65.8938,5.03,95.0,97.0,6.81,AR,1722822024.0
tayu,-6.5397,111.0518,27.7,62.0,9.0,4.13,ID,1722822024.0
nuuk,64.1835,-51.7216,6.34,87.0,20.0,0.51,GL,1722822024.0
machico,32.7,-16.7667,23.35,78.0,20.0,3.6,PT,1722822024.0
runing,33.0011,114.3542,33.15,65.0,75.0,4.97,CN,1722822024.0
santo antonio,-6.3106,-35.4789,20.21,96.0,13.0,3.5,BR,1722822024.0
salinas,36.6777,-121.6555,23.56,82.0,75.0,5.66,US,1722822024.0
jalpan,21.2333,-99.4833,20.86,86.0,24.0,0.62,MX,1722822024.0
raja,8.4596,25.678,20.31,96.0,95.0,1.89,SS,1722822024.0
nanzhou,29.3596,112.4024,32.71,62.0,44.0,5.01,CN,1722822024.0
sydney,-33.8679,151.2073,14.63,75.0,100.0,1.54,AU,1722821775.0
humaita,-7.5061,-63.0208,26.27,44.0,3.0,1.22,BR,1722822025.0
sola,-13.8833,167.55,23.79,70.0,60.0,12.63,VU,1722822025.0
southside,33.9245,-86.0225,28.92,89.0,0.0,0.0,US,1722822025.0
khorugh,37.4897,71.553,16.48,40.0,0.0,0.83,TJ,1722822025.0
viana do castelo,41.6932,-8.8329,17.36,92.0,0.0,4.51,PT,1722822025.0
olinda,-8.0089,-34.8553,23.85,88.0,40.0,3.09,BR,1722822025.0
dilling,12.05,29.65,23.39,80.0,99.0,5.16,SD,1722822025.0
borba,-4.3878,-59.5939,25.7,47.0,71.0,1.39,BR,1722822025.0
hemsby,52.6971,1.6918,16.88,85.0,98.0,4.01,GB,1722822025.0
racari,44.6333,25.7333,19.73,67.0,84.0,1.31,RO,1722822025.0
cable beach,,,,,,,,
birao,10.2849,22.7882,20.73,97.0,100.0,2.51,CF,1722822025.0
yuxi,24.355,102.5422,21.59,88.0,87.0,1.13,CN,1722822025.0
midvagur,62.0511,-7.1939,12.46,100.0,100.0,11.32,FO,1722822025.0
novoanninskiy,50.5287,42.6747,20.87,72.0,100.0,1.4,RU,1722822030.0
fort stockton,30.894,-102.8793,23.03,68.0,0.0,8.75,US,1722822031.0
baikonur,45.6167,63.3167,27.73,29.0,100.0,1.04,KZ,1722821866.0
nova vicosa,-17.8919,-39.3719,22.21,87.0,12.0,3.58,BR,1722822031.0
brookings,44.3114,-96.7984,21.77,91.0,100.0,5.14,US,1722821778.0
antofagasta,-23.65,-70.4,13.6,84.0,78.0,1.69,CL,1722821721.0
lodeynoye pole,60.726,33.5531,12.34,97.0,6.0,1.48,RU,1722822031.0
viedma,-40.8135,-62.9967,10.92,46.0,94.0,5.73,AR,1722822031.0
seogwipo,,,,,,,,
sodankyla,67.4167,26.6,11.35,79.0,1.0,0.97,FI,1722822031.0
kapuskasing,49.4169,-82.4331,17.05,63.0,20.0,1.54,CA,1722821942.0
luderitz,-26.6481,15.1594,12.06,74.0,0.0,6.13,NA,1722822031.0
la palma,33.8464,-118.0467,36.28,45.0,0.0,6.17,US,1722822031.0
churapcha,62.0025,132.4325,20.91,39.0,96.0,5.51,RU,1722822031.0
arkadelphia,34.1209,-93.0538,28.92,74.0,0.0,0.0,US,1722822031.0
balakhta,55.38,91.6,19.15,83.0,78.0,2.01,RU,1722822031.0
lib,8.3122,167.3766,28.79,76.0,24.0,4.64,MH,1722822031.0
isle of lewis,,,,,,,,
santa rosalia,27.3167,-112.2833,33.62,39.0,6.0,1.12,MX,1722822031.0
kasama,-10.2129,31.1808,11.65,53.0,0.0,1.34,ZM,1722822031.0
al kharijah,25.4514,30.5464,30.3,17.0,22.0,3.28,EG,1722822031.0
tsiombe,-25.3,45.4833,15.35,92.0,3.0,1.52,MG,1722822031.0
angola,-12.5,18.5,11.42,42.0,52.0,1.1,AO,1722822031.0
frolovo,49.7713,43.6622,18.55,45.0,87.0,1.76,RU,1722822032.0
mombetsu,44.3525,143.3525,17.01,88.0,75.0,2.57,JP,1722822032.0
jeddah,21.5169,39.2192,32.92,66.0,20.0,3.09,SA,1722822032.0
slave lake,55.2834,-114.769,18.99,68.0,75.0,4.63,CA,1722822032.0
thinadhoo,0.5333,72.9333,28.55,72.0,100.0,4.32,MV,1722822032.0
treinta y tres,-33.2333,-54.3833,11.43,87.0,100.0,4.17,UY,1722822032.0
tchintabaraden,15.8969,5.7985,27.42,67.0,51.0,6.03,NE,1722822032.0
bengkulu,-3.8004,102.2655,26.26,83.0,26.0,3.61,ID,1722822032.0
coquimbo,-29.9533,-71.3436,11.85,77.0,100.0,1.03,CL,1722822032.0
kilindoni,-7.9139,39.6668,24.63,70.0,0.0,6.44,TZ,1722822032.0
kokpekty,48.75,82.4,23.43,45.0,1.0,0.04,KZ,1722822032.0
corner brook,48.9667,-57.9484,23.09,98.0,100.0,1.98,CA,1722821759.0
sinop,41.7711,34.8709,18.05,59.0,30.0,0.98,TR,1722822032.0
sao vicente,-23.9631,-46.3919,28.1,60.0,65.0,1.06,BR,1722822032.0
kampene,-3.6,26.6667,20.75,45.0,22.0,0.69,CD,1722822032.0
puerto aysen,-45.4,-72.7,2.67,99.0,100.0,1.62,CL,1722822032.0
merizo village,13.2658,144.6691,30.85,86.0,100.0,5.07,GU,1722822032.0
ust'-ilimsk,58.0006,102.6619,20.84,47.0,5.0,1.58,RU,1722822032.0
dom pedrito,-30.9828,-54.6731,13.01,96.0,100.0,4.36,BR,1722822032.0
lexington,37.9887,-84.4777,26.64,66.0,0.0,1.28,US,1722821879.0
garoowe,8.4054,48.4845,22.39,71.0,100.0,11.05,SO,1722822033.0
maridi,4.9158,29.4742,19.12,98.0,81.0,1.54,SS,1722822033.0
urangan,-25.3,152.9,19.9,59.0,99.0,2.46,AU,1722822033.0
amos,48.5669,-78.1162,13.52,58.0,18.0,2.37,CA,1722822033.0
sinabang,2.4803,96.3801,28.06,77.0,71.0,1.16,ID,1722822033.0
bardai,11.65,7.2333,20.99,92.0,93.0,4.24,NG,1722821808.0
aykhal,66.0,111.5,20.89,38.0,68.0,8.04,RU,1722822033.0
usogorsk,63.4106,48.6872,14.82,90.0,100.0,3.09,RU,1722822038.0
kapa'a,22.0752,-159.319,28.18,66.0,100.0,6.69,US,1722822038.0
lorengau,-2.0226,147.2712,28.22,79.0,69.0,3.21,PG,1722822038.0
pulawy,51.4166,21.9694,18.17,88.0,98.0,2.53,PL,1722822038.0
st. paul,44.9444,-93.0933,26.14,74.0,0.0,4.12,US,1722821747.0
kirov,58.5966,49.6601,14.01,96.0,48.0,1.69,RU,1722821778.0
goderich,43.7501,-81.7165,23.28,69.0,100.0,2.57,CA,1722822038.0
pamanukan,-6.2842,107.8106,28.15,58.0,28.0,2.36,ID,1722822038.0
fauske,67.2588,15.3918,18.21,74.0,83.0,3.4,NO,1722822038.0
mar del plata,-38.0023,-57.5575,10.53,69.0,58.0,4.47,AR,1722821707.0
simcoe,42.8334,-80.2997,23.08,87.0,1.0,2.15,CA,1722821919.0
adrar,20.5022,-10.0711,31.91,36.0,6.0,5.27,MR,1722822038.0
waingapu,-9.6567,120.2641,28.12,57.0,12.0,6.47,ID,1722822038.0
ghat,24.9647,10.1728,30.92,13.0,0.0,1.46,LY,1722822038.0
lodwar,3.1191,35.5973,28.27,47.0,51.0,3.78,KE,1722822038.0
cidade velha,14.9167,-23.6167,27.26,78.0,20.0,0.51,CV,1722822038.0
darwin,-12.4611,130.8418,28.36,54.0,75.0,6.17,AU,1722822039.0
mariupol,47.0667,37.5,20.74,83.0,29.0,1.64,UA,1722822039.0
huskvarna,57.786,14.3021,14.0,100.0,75.0,2.06,SE,1722822039.0
lae,-6.7221,146.9847,26.37,82.0,99.0,1.03,PG,1722822039.0
ma'an,26.9775,110.7211,31.56,61.0,48.0,2.64,CN,1722822039.0
glazov,58.1394,52.6584,15.3,94.0,72.0,1.5,RU,1722822039.0
palikir - national government center,6.9248,158.1611,30.47,74.0,100.0,5.66,FM,1722822039.0
ushtobe,45.2514,77.9838,29.62,22.0,60.0,4.59,KZ,1722822039.0
haiku-pauwela,20.9219,-156.3051,28.47,62.0,20.0,12.86,US,1722822039.0
kendari,-3.945,122.4989,26.96,79.0,99.0,0.65,ID,1722822039.0
malaya purga,56.5567,53.0043,15.28,93.0,98.0,2.94,RU,1722822039.0
zyrya,40.3661,50.2917,24.05,71.0,0.0,2.61,AZ,1722822039.0
monterrey,25.6667,-100.3167,31.43,55.0,0.0,3.07,MX,1722821631.0
zyryanskoye,56.8306,86.6258,19.04,89.0,100.0,3.15,RU,1722822039.0
atherton,53.5237,-2.4935,16.79,80.0,56.0,2.68,GB,1722822039.0
mont-dore,-22.2833,166.5833,23.33,99.0,8.0,5.56,NC,1722822039.0
fuvahmulah,,,,,,,,
arraial do cabo,-22.9661,-42.0278,22.41,91.0,0.0,10.7,BR,1722822039.0
trairi,-3.2778,-39.2689,25.38,80.0,6.0,5.37,BR,1722821742.0
amga,60.8953,131.9608,21.81,44.0,100.0,5.16,RU,1722822040.0
mermoz boabab,14.7065,-17.4758,26.31,81.0,100.0,2.41,SN,1722822040.0
khon kaen,16.5,102.0833,27.21,76.0,98.0,1.39,TH,1722821817.0
macau,22.2006,113.5461,34.28,79.0,20.0,1.54,MO,1722822029.0
tahe,52.3333,124.7333,23.26,74.0,100.0,2.4,CN,1722822040.0
heihe,50.2441,127.4902,25.32,85.0,99.0,5.15,CN,1722822040.0
hino,35.6731,139.4003,34.56,57.0,75.0,2.06,JP,1722821904.0
baghlan,35.75,69.0,22.41,26.0,0.0,1.41,AF,1722822040.0
tauste,41.918,-1.2534,25.78,67.0,1.0,3.37,ES,1722822040.0
mandiana,10.6333,-8.6833,22.01,97.0,100.0,2.57,GN,1722822040.0
senador jose porfirio,-2.5908,-51.9542,24.98,61.0,0.0,1.28,BR,1722822040.0
rio gallegos,-51.6226,-69.2181,1.03,69.0,75.0,2.06,AR,1722822024.0
general acha,-37.377,-64.6043,12.14,38.0,31.0,7.63,AR,1722821873.0
marshfield,44.6689,-90.1718,25.49,83.0,0.0,1.54,US,1722821990.0
springbok,-29.6643,17.8865,0.85,87.0,0.0,0.75,ZA,1722822040.0
mana,5.6592,-53.7767,25.71,88.0,47.0,5.34,GF,1722822045.0
santana,-0.0583,-51.1817,29.1,79.0,20.0,5.66,BR,1722822046.0
roma,43.2128,-75.4557,23.08,79.0,0.0,2.57,US,1722822046.0
hobyo,5.3505,48.5268,23.99,83.0,38.0,10.35,SO,1722822046.0
mukalla,14.5425,49.1242,29.64,60.0,100.0,5.28,YE,1722821775.0
